HAGRID	kingdom	phylum	class	order	family	genus	species	common_name	female_maturity_days	male_maturity_days	gestation_incubation_days	weaning_days	litter_clutch_size	litters_clutches_per_year	inter_litter_interbirth_interval	birth_weight_g	weaning_weight_g	adult_weight_g	growth_rate_recip_days	maximum_longevity_yrs	source	specimen_origin	sample_size	data_quality	imr_per_yr	mrdt_yrs	metabolic_rate_w	body_mass_g	temperature_k	references
02540	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Neotoma	Neotoma micropus	Southern plains woodrat	136	NA	35	26	2.51	2.4	NA	11.7	35.6	236.3	0.0281	NA	NA	unknown	small	low	NA	NA	NA	NA	NA	434455610622680700
02541	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Nyctomys	Nyctomys sumichrasti	Vesper rat	NA	NA	30	21	2.25	5	38	4.7	40	50	NA	5.7	671	captivity	small	acceptable	NA	NA	NA	NA	NA	434455508610671
02542	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Ochrotomys	Ochrotomys nuttalli	Golden mouse	NA	NA	30	21	2.7	NA	25	2.7	12.5	22	0.0591	8.4	671	captivity	small	acceptable	NA	NA	0.151	19.5	309.55	36420434455538612e6
02543	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Ondatra	Ondatra zibethicus	Muskrat	285	285	26	25	6.7	2.7	30	22.72	152.1	1362	0.0323	NA	NA	unknown	tiny	low	NA	NA	4.363	976.3	310.55	3642043444145561e13
02544	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Onychomys	Onychomys leucogaster	Northern grasshopper mouse	100	114	31	23	4	2.5	32	2.6	13.1	32.5	0.0634	5.6	671	captivity	tiny	acceptable	NA	NA	NA	NA	NA	4344414555426717e5
02545	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Onychomys	Onychomys torridus	Southern grasshopper mouse	41	41	30	20	3.7	2.7	30	2.6	9.2	22	0.018	4.6	671	captivity	small	acceptable	NA	NA	0.165	19.1	309.15	36420434441455673e3
02546	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Peromyscus	Peromyscus californicus	California mouse	46	NA	30	30	2	4.6	24	4.46	18.6	42	NA	5.5	671	captivity	small	acceptable	NA	NA	0.267	47	309.55	3642045553861067e11
02547	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Peromyscus	Peromyscus crinitus	Canyon mouse	70	70	24	28	3	2.05	27	2.2	14.1	16.5	NA	7.7	647	captivity	small	acceptable	NA	NA	0.162	20.5	308.85	36420455647773
02548	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Peromyscus	Peromyscus eremicus	Cactus mouse	129	NA	26	25	2.6	3.5	39	2.33	NA	25	NA	7.4	671	captivity	medium	acceptable	NA	NA	0.173	21	309.75	36420434455610675e6
02549	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Peromyscus	Peromyscus guatemalensis	Guatemalan deer mouse	NA	NA	NA	NA	1.9	NA	NA	NA	NA	40	NA	5.7	671	captivity	small	acceptable	NA	NA	NA	NA	NA	671730773978
02550	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Peromyscus	Peromyscus leucopus	White-footed mouse	73	NA	26	22	4.5	3.7	26	1.89	9.24	23	0.0456	7.9	671	captivity	small	acceptable	0.001	0.5	0.213	22.3	309.85	2367430430530629e81
02551	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Peromyscus	Peromyscus maniculatus	Deer mouse	49	NA	24	22	5	3	27	2	9.2	20.5	0.0643	8.3	434	captivity	medium	acceptable	NA	NA	0.219	20.5	309.75	36593084204344367e40
02552	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Peromyscus	Peromyscus polionotus	Oldfield mouse	28	NA	24	21	3.8	3	25	1.68	6.72	14	0.0558	5.5	671	captivity	medium	acceptable	NA	NA	0.12	12	NA	36455671731773
02553	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Peromyscus	Peromyscus truei	Pinyon mouse	50	NA	26	30	3.4	5	40	2.315	10.5	25	0.0481	5.4	671	captivity	small	acceptable	NA	NA	0.307	33.1	309.85	3.6434455610671687e+26
02554	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Phenacomys	Phenacomys intermedius	Western heather vole	37	NA	22	19	4.58	2.3	NA	2.18	15.3	33	NA	NA	NA	unknown	small	low	NA	NA	0.375	21.5	311.05	3642043445561063e4
02555	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Phenacomys	Phenacomys ungava	Eastern heather vole	38	NA	23	21	4.9	NA	NA	2.4	10	27	0.0554	NA	NA	unknown	small	low	NA	NA	NA	NA	NA	538610731
02556	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Phodopus	Phodopus roborovskii	Desert hamster	243	NA	21	19	6	3.5	NA	1.45	18.1	NA	NA	4.8	671	captivity	medium	acceptable	NA	NA	NA	NA	NA	434455610671
02557	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Phodopus	Phodopus sungorus	Dzhungarian hamster	120	NA	20	21	5.5	3.5	40	2	14.8	23.4	NA	3.9	671	captivity	medium	acceptable	NA	NA	0.313	31.3	309.25	36395396397398416e15
02558	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Phyllotis	Phyllotis darwini	Darwin's leaf-eared mouse	NA	NA	34	NA	4	NA	NA	NA	NA	50.8	NA	NA	NA	unknown	tiny	low	NA	NA	0.333	47	309.35	364556106719781e3
02559	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Podomys	Podomys floridanus	Florida mouse	NA	NA	23	25	2.5	NA	33	2.4	12.5	32	NA	7.4	434	captivity	small	acceptable	NA	NA	0.288	30.8	NA	36434455538610
02560	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Reithrodon	Reithrodon auritus	Bunny or coney rat	61	NA	NA	NA	4.5	NA	NA	NA	NA	72.2	NA	5.5	671	captivity	small	acceptable	NA	NA	0.428	78.7	NA	36434455610671
02561	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Reithrodontomys	Reithrodontomys humulis	Eastern harvest mouse	105	NA	23	23	2.9	NA	32	1.115	NA	10.3	0.0694	NA	NA	unknown	small	low	NA	NA	NA	NA	NA	455538610629680700
02562	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Reithrodontomys	Reithrodontomys megalotis	Western harvest mouse	107	80	23	21	3.3	4.5	28	1.33	NA	11	NA	NA	NA	unknown	small	low	NA	NA	0.13	9	309.95	36420434455610675e6
02563	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Rhipidomys	Rhipidomys nitela	Splendid climbing mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	89	NA	NA	NA	unknown	small	low	NA	NA	NA	NA	NA	671730
02564	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Scotinomys	Scotinomys teguina	Alston's brown mouse	34	49	31	21	2.8	NA	31	1.35	NA	11.2	NA	NA	NA	unknown	small	low	NA	NA	0.174	12	310.75	36420434455610675e6
02565	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Sigmodon	Sigmodon hispidus	Hispid cotton rat	40	40	27	15	5	6.7	NA	6.2	19.8	185	0.0362	5.2	671	captivity	medium	acceptable	NA	NA	1.085	159.6	311.25	3636036142043444e22
02566	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Synaptomys	Synaptomys cooperi	Southern bog lemming	NA	NA	23	23	3	2.5	NA	3.46	20	27	NA	NA	NA	unknown	small	low	NA	NA	NA	NA	NA	441455542610
02567	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Tscherskia	Tscherskia triton	Greater long-tailed hamster	NA	NA	NA	NA	4.2	NA	NA	5.2	NA	25	NA	NA	NA	unknown	small	low	NA	NA	NA	NA	NA	671978
02568	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Tylomys	Tylomys nudicaudus	Peters's climbing rat	82	109	40	26	2.4	6	39	16.77	40	280	0.0313	5.4	671	captivity	small	acceptable	NA	NA	NA	NA	NA	434455610671731
02569	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Wiedomys	Wiedomys pyrrhorhinos	Red-nosed mouse	NA	NA	NA	NA	3.8	NA	NA	NA	NA	47	NA	NA	NA	unknown	small	low	NA	NA	NA	NA	NA	455610671
02570	Animalia	Chordata	Mammalia	Rodentia	Ctenodactylidae	Ctenodactylus	Ctenodactylus gundi	Gundi	319	NA	74	NA	1.9	1	70	29.9	NA	288.8	NA	5.8	671	captivity	small	acceptable	NA	NA	NA	NA	NA	434455671978
02571	Animalia	Chordata	Mammalia	Rodentia	Ctenodactylidae	Pectinator	Pectinator spekei	Speke's pectinator	NA	NA	NA	NA	1.2	NA	NA	NA	NA	178	0.0111	NA	NA	unknown	small	low	NA	NA	NA	NA	NA	434573731978
02572	Animalia	Chordata	Mammalia	Rodentia	Ctenomyidae	Ctenomys	Ctenomys conoveri	Chaco tuco-tuco	NA	NA	NA	NA	NA	NA	NA	NA	NA	860	NA	NA	NA	unknown	small	low	NA	NA	NA	NA	NA	671730
02573	Animalia	Chordata	Mammalia	Rodentia	Ctenomyidae	Ctenomys	Ctenomys talarum	Tuco-tuco	243	243	102	36	4	1.5	NA	8	NA	100	NA	NA	NA	unknown	small	low	NA	NA	0.611	121	309.25	364204344555426e8
02574	Animalia	Chordata	Mammalia	Rodentia	Cuniculidae	Cuniculus	Cuniculus paca	Lowland paca	365	365	116	78	1	1.5	191	680	NA	9000	0.0165	16.3	671	captivity	small	acceptable	NA	NA	15.323	9156	310.35	36420434455610675e3
02575	Animalia	Chordata	Mammalia	Rodentia	Cuniculidae	Cuniculus	Cuniculus taczanowskii	Mountain paca	NA	NA	NA	NA	1	2	NA	NA	NA	8999.9	NA	18.9	671	captivity	small	acceptable	NA	NA	NA	NA	NA	671730978
02576	Animalia	Chordata	Mammalia	Rodentia	Dasyproctidae	Dasyprocta	Dasyprocta azarae	Azara's agouti	NA	NA	NA	NA	NA	NA	NA	NA	NA	2650	NA	11.8	671	captivity	medium	acceptable	NA	NA	10.521	3849	310.65	36420434671
02577	Animalia	Chordata	Mammalia	Rodentia	Dasyproctidae	Dasyprocta	Dasyprocta cristata	Crested agouti	NA	NA	NA	NA	2	NA	NA	NA	NA	2650	NA	14	671	captivity	tiny	acceptable	NA	NA	NA	NA	NA	455610671
02578	Animalia	Chordata	Mammalia	Rodentia	Dasyproctidae	Dasyprocta	Dasyprocta fuliginosa	Black agouti	NA	NA	NA	NA	NA	NA	NA	NA	NA	3500	NA	18	671	captivity	small	acceptable	NA	NA	NA	NA	NA	671730
02579	Animalia	Chordata	Mammalia	Rodentia	Dasyproctidae	Dasyprocta	Dasyprocta leporina	Agouti	193	NA	112	NA	1	NA	NA	NA	NA	3265	NA	17.8	671	captivity	large	high	NA	NA	8.694	2687	311.45	36420434455610675e3
02580	Animalia	Chordata	Mammalia	Rodentia	Dasyproctidae	Dasyprocta	Dasyprocta mexicana	Mexican agouti	NA	NA	NA	NA	NA	NA	NA	NA	NA	2700	NA	13.1	671	captivity	small	acceptable	NA	NA	NA	NA	NA	434671
02581	Animalia	Chordata	Mammalia	Rodentia	Dasyproctidae	Dasyprocta	Dasyprocta prymnolopha	Black-rumped agouti	NA	NA	NA	NA	1.5	NA	NA	NA	NA	2900	NA	16.3	671	captivity	small	acceptable	NA	NA	NA	NA	NA	671730978
02582	Animalia	Chordata	Mammalia	Rodentia	Dasyproctidae	Dasyprocta	Dasyprocta punctata	Central American agouti	487	NA	112	NA	2	NA	127	227	NA	2150	NA	13.8	671	captivity	medium	acceptable	NA	NA	NA	NA	NA	434455610671
02583	Animalia	Chordata	Mammalia	Rodentia	Dasyproctidae	Dasyprocta	Dasyprocta ruatanica	Ruatan agouti	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.7	671	captivity	small	acceptable	NA	NA	NA	NA	NA	671
02584	Animalia	Chordata	Mammalia	Rodentia	Dasyproctidae	Myoprocta	Myoprocta acouchy	Red acouchi	304	304	99	53	2	NA	NA	100	350	775	0.0229	14.8	671	captivity	small	acceptable	NA	NA	2.804	914	308.55	36420434455610675e6
02585	Animalia	Chordata	Mammalia	Rodentia	Dinomyidae	Dinomys	Dinomys branickii	Pacarana	NA	NA	253	15	2	NA	NA	900	NA	12250	NA	12.8	671	captivity	small	acceptable	NA	NA	NA	NA	NA	434455610671
02586	Animalia	Chordata	Mammalia	Rodentia	Dipodidae	Allactaga	Allactaga elater	Small five-toed jerboa	142	142	NA	33	4.5	2	NA	NA	NA	58.7	NA	5.2	671	captivity	small	acceptable	NA	NA	NA	NA	NA	434455671680
02587	Animalia	Chordata	Mammalia	Rodentia	Dipodidae	Allactaga	Allactaga euphratica	Euphrates jerboa	NA	NA	NA	NA	5	NA	NA	NA	NA	232	NA	4.2	671	captivity	small	acceptable	NA	NA	NA	NA	NA	434455610671730
02588	Animalia	Chordata	Mammalia	Rodentia	Dipodidae	Allactaga	Allactaga major	Great jerboa	NA	NA	NA	NA	4	NA	NA	NA	NA	350	NA	7	671	captivity	tiny	acceptable	NA	NA	NA	NA	NA	434455671
02589	Animalia	Chordata	Mammalia	Rodentia	Dipodidae	Allactaga	Allactaga sibirica	Mongolian five-toed jerboa	NA	NA	NA	NA	3.4	1	NA	NA	NA	117.5	NA	4.5	671	captivity	small	acceptable	NA	NA	NA	NA	NA	434455671978
02590	Animalia	Chordata	Mammalia	Rodentia	Dipodidae	Jaculus	Jaculus jaculus	Lesser Egyptian jerboa	327	137	38	51	3	1.5	91	2	20	55	NA	7.3	671	captivity	medium	acceptable	NA	NA	0.515	75	310.65	36420434455610675e3
02591	Animalia	Chordata	Mammalia	Rodentia	Dipodidae	Jaculus	Jaculus orientalis	Greater Egyptian jerboa	NA	NA	35	NA	2.5	NA	NA	NA	NA	134	NA	5.5	671	captivity	small	acceptable	NA	NA	0.775	139	310.15	36420434455610670
02592	Animalia	Chordata	Mammalia	Rodentia	Dipodidae	Napaeozapus	Napaeozapus insignis	Woodland jumping mouse	256	NA	29	36	4	1.3	NA	0.9	8.9	25	0.0277	NA	NA	unknown	small	low	NA	NA	0.22	21.8	310.15	3642043444145561e7
02593	Animalia	Chordata	Mammalia	Rodentia	Dipodidae	Sicista	Sicista betulina	Northern birch mouse	365	365	31	38	5	1	NA	NA	NA	8	NA	NA	NA	unknown	small	low	NA	NA	0.179	10	309.15	36420434455542604e3
02594	Animalia	Chordata	Mammalia	Rodentia	Dipodidae	Zapus	Zapus hudsonius	Meadow jumping mouse	61	61	19	28	5.5	2.1	NA	0.8	7.8	18	0.0328	5.6	671	captivity	small	acceptable	NA	NA	0.219	26.1	NA	36434441455542672e9
02595	Animalia	Chordata	Mammalia	Rodentia	Dipodidae	Zapus	Zapus princeps	Western jumping mouse	NA	NA	19	30	5.5	1	NA	0.8	NA	21	NA	NA	NA	unknown	small	low	NA	NA	NA	NA	NA	434455538610676
02596	Animalia	Chordata	Mammalia	Rodentia	Echimyidae	Hoplomys	Hoplomys gymnurus	Armored rat	NA	NA	60	NA	2.1	NA	NA	24.3	NA	504	NA	7	671	captivity	small	acceptable	NA	NA	NA	NA	NA	434455610671978
02597	Animalia	Chordata	Mammalia	Rodentia	Echimyidae	Makalata	Makalata didelphoides	Red-nosed armored tree-rat	NA	NA	NA	NA	1.33	NA	NA	NA	NA	276	NA	NA	NA	unknown	small	low	NA	NA	NA	NA	NA	434455
02598	Animalia	Chordata	Mammalia	Rodentia	Echimyidae	Proechimys	Proechimys brevicauda	Andean spiny rat. Short-tailed spiny-rat	NA	NA	NA	NA	NA	NA	NA	NA	NA	285	NA	6.8	671	captivity	small	acceptable	NA	NA	NA	NA	NA	671730
02599	Animalia	Chordata	Mammalia	Rodentia	Echimyidae	Proechimys	Proechimys guairae	Quaira spiny rat	85	90	64	22	2.8	4.4	NA	21	NA	400	0.0213	NA	NA	unknown	small	low	NA	NA	NA	NA	NA	434455610680731
02600	Animalia	Chordata	Mammalia	Rodentia	Echimyidae	Proechimys	Proechimys guyannensis	Cayenne spiny rat	148	146	64	29	2.4	NA	66	24.7	NA	356.5	NA	NA	NA	unknown	small	low	NA	NA	NA	NA	NA	434455610680978
02601	Animalia	Chordata	Mammalia	Rodentia	Echimyidae	Proechimys	Proechimys semispinosus	Spiny rat	146	146	64	21	2.4	4.68	NA	23	NA	500	0.0131	5.8	671	captivity	small	acceptable	NA	NA	1.75	498	311.05	36420434455610675e6
02602	Animalia	Chordata	Mammalia	Rodentia	Echimyidae	Thrichomys	Thrichomys apereoides	Brazilian spiny rat	178	NA	94	46	3.1	2.5	97	21.1	NA	373.5	NA	7	671	captivity	small	acceptable	NA	NA	1.153	323	310.75	36420434455610675e3
02603	Animalia	Chordata	Mammalia	Rodentia	Erethizontidae	Coendou	Coendou prehensilis	Prehensile-tailed porcupine	578	578	203	95	1	NA	433	408	NA	3900	0.0112	26.6	671	captivity	medium	acceptable	NA	NA	5.123	3280	309.85	36420434455610675e3
02604	Animalia	Chordata	Mammalia	Rodentia	Erethizontidae	Erethizon	Erethizon dorsatus	North American porcupine	1095	1095	210	60	1	1	NA	500	1000	8600	0.0079	23.4	671	captivity	medium	acceptable	NA	NA	13.675	6871	309.15	36420434441455483e15
02605	Animalia	Chordata	Mammalia	Rodentia	Erethizontidae	Sphiggurus	Sphiggurus mexicanus	Mexican hairy dwarf porcupine	NA	NA	NA	NA	1	NA	NA	NA	NA	2000	NA	16.7	671	captivity	small	acceptable	NA	NA	NA	NA	NA	455610671
02606	Animalia	Chordata	Mammalia	Rodentia	Erethizontidae	Sphiggurus	Sphiggurus villosus	Orange-spined hairy dwarf porcupine	NA	NA	NA	NA	1	NA	NA	NA	NA	1750	NA	NA	NA	unknown	tiny	low	NA	NA	NA	NA	NA	455610671
02607	Animalia	Chordata	Mammalia	Rodentia	Geomyidae	Cratogeomys	Cratogeomys castanops	Yellow-faced pocket gopher	310	NA	NA	NA	2	4	NA	6.07	100	270	NA	NA	NA	unknown	small	low	NA	NA	NA	NA	NA	1434455538610680
02608	Animalia	Chordata	Mammalia	Rodentia	Geomyidae	Geomys	Geomys bursarius	Plains pocket gopher	91	91	51	34	4	1	NA	5.2	22.5	176.7	NA	12	671	captivity	small	acceptable	NA	NA	0.769	197	308.15	36434441455610675e7
02609	Animalia	Chordata	Mammalia	Rodentia	Geomyidae	Geomys	Geomys personatus	Texas pocket gopher	NA	NA	NA	NA	3.3	2	NA	NA	NA	397	NA	NA	NA	unknown	small	low	NA	NA	NA	NA	NA	434610614
02610	Animalia	Chordata	Mammalia	Rodentia	Geomyidae	Thomomys	Thomomys bottae	Botta's pocket gopher	319	319	19	38	5.5	1	NA	3.3	NA	115.5	NA	6.1	671	captivity	small	acceptable	NA	NA	0.67	143	309.15	36420434455648670
02611	Animalia	Chordata	Mammalia	Rodentia	Geomyidae	Thomomys	Thomomys mazama	Western pocket gopher	NA	NA	30	NA	5	1	NA	NA	NA	75	NA	NA	NA	unknown	small	low	NA	NA	NA	NA	NA	542643730
02612	Animalia	Chordata	Mammalia	Rodentia	Geomyidae	Thomomys	Thomomys talpoides	Northern pocket gopher	356	NA	28	40	5	1	365	3.175	NA	104	0.0618	NA	NA	unknown	small	low	NA	NA	0.679	97.6	309.35	36420434441455537e12
02613	Animalia	Chordata	Mammalia	Rodentia	Gliridae	Dryomys	Dryomys nitedula	Forest dormouse	NA	NA	28	30	3	1.2	NA	1.73	NA	26	NA	4.1	671	captivity	small	acceptable	NA	NA	NA	NA	NA	434455542570610600
02614	Animalia	Chordata	Mammalia	Rodentia	Gliridae	Eliomys	Eliomys melanurus	Asian garden dormouse	NA	NA	25	NA	5	NA	NA	NA	NA	122.5	NA	6.2	671	captivity	small	acceptable	NA	NA	NA	NA	NA	671730978
02615	Animalia	Chordata	Mammalia	Rodentia	Gliridae	Eliomys	Eliomys quercinus	Garden dormouse	365	365	23	30	5	1.2	NA	NA	NA	82.5	0.0409	5.5	671	captivity	small	acceptable	NA	NA	NA	NA	NA	4344555425706106e5
02616	Animalia	Chordata	Mammalia	Rodentia	Gliridae	Glirulus	Glirulus japonicus	Japanese dormouse	NA	NA	30	NA	4	1.5	NA	NA	NA	27	NA	7	671	captivity	tiny	acceptable	NA	NA	NA	NA	NA	434455671
02617	Animalia	Chordata	Mammalia	Rodentia	Gliridae	Glis	Glis glis	Fat dormouse	322	335	25	33	4	1.2	NA	1.5	NA	125	NA	8.7	671	captivity	small	acceptable	NA	NA	0.664	174.4	310.85	3642043445554258e14
02618	Animalia	Chordata	Mammalia	Rodentia	Gliridae	Graphiurus	Graphiurus murinus	Woodland dormouse	NA	NA	24	NA	3	2	NA	3.5	NA	24	NA	6.9	671	captivity	medium	acceptable	NA	NA	0.225	38.4	NA	36434455570671
02619	Animalia	Chordata	Mammalia	Rodentia	Gliridae	Graphiurus	Graphiurus platyops	Rock dormouse	NA	NA	NA	NA	5.2	NA	NA	NA	NA	46.1	NA	7.3	671	captivity	small	acceptable	NA	NA	NA	NA	NA	671730978
02620	Animalia	Chordata	Mammalia	Rodentia	Gliridae	Muscardinus	Muscardinus avellanarius	Hazel dormouse	335	335	23	39	4	1.5	50	0.8	NA	27.3	NA	5.3	671	captivity	tiny	acceptable	NA	NA	0.351	23.5	NA	13643445557061068e4
02621	Animalia	Chordata	Mammalia	Rodentia	Heteromyidae	Chaetodipus	Chaetodipus fallax	San Diego pocket mouse	166	166	25	NA	3	1	NA	NA	NA	18.7	NA	8.3	671	captivity	small	acceptable	NA	NA	0.15	19.6	305.75	36420434455610670
02622	Animalia	Chordata	Mammalia	Rodentia	Heteromyidae	Chaetodipus	Chaetodipus formosus	Long-tailed pocket mouse	365	365	28	25	5	1	NA	1	8	19	NA	7.1	647	captivity	small	acceptable	NA	NA	0.103	15.1	NA	36441455573647
02623	Animalia	Chordata	Mammalia	Rodentia	Heteromyidae	Chaetodipus	Chaetodipus nelsoni	Nelson's pocket mouse	NA	NA	30	NA	3.68	NA	NA	NA	NA	14.4	NA	NA	NA	unknown	small	low	NA	NA	NA	NA	NA	455612
02624	Animalia	Chordata	Mammalia	Rodentia	Heteromyidae	Dipodomys	Dipodomys agilis	Agile kangaroo rat	NA	NA	NA	NA	2.6	1	NA	NA	NA	61	NA	NA	NA	unknown	small	low	NA	NA	0.355	60.6	310.15	36420455520538610
02625	Animalia	Chordata	Mammalia	Rodentia	Heteromyidae	Dipodomys	Dipodomys deserti	Desert kangaroo rat	NA	NA	30	20	3	3	NA	3.04	38	116	NA	8.6	671	captivity	small	acceptable	NA	NA	0.517	105.8	309.95	36420434455538612e6
02626	Animalia	Chordata	Mammalia	Rodentia	Heteromyidae	Dipodomys	Dipodomys heermanni	Heermann's kangaroo rat	NA	NA	31	31	3.1	2	NA	3.91	28.1	65	NA	8.3	671	captivity	small	acceptable	NA	NA	0.408	63.3	NA	36434455538610676e3
02627	Animalia	Chordata	Mammalia	Rodentia	Heteromyidae	Dipodomys	Dipodomys merriami	Merriam's kangaroo rat	102	NA	28	20	2.3	1.6	54	2.92	17.6	42	0.0368	9.7	671	captivity	medium	acceptable	NA	NA	0.246	37.6	310.15	36420434455610678e9
02628	Animalia	Chordata	Mammalia	Rodentia	Heteromyidae	Dipodomys	Dipodomys nitratoides	Fresno kangaroo rat	88	NA	34	27	2.3	NA	NA	3.18	20	35.5	NA	NA	NA	unknown	small	low	NA	NA	0.204	37.8	NA	36434455610671
02629	Animalia	Chordata	Mammalia	Rodentia	Heteromyidae	Dipodomys	Dipodomys ordii	Ord's kangaroo rat	61	NA	29	34	3	2	143	5	NA	57	NA	9.9	671	captivity	small	acceptable	NA	NA	0.339	47.8	307.75	3642043444145561e7
02630	Animalia	Chordata	Mammalia	Rodentia	Heteromyidae	Dipodomys	Dipodomys spectabilis	Banner-tailed kangaroo rat	NA	NA	23	24	2	2	42	7.75	30.3	145	NA	12.7	671	captivity	tiny	acceptable	NA	NA	NA	NA	NA	434455610671
02631	Animalia	Chordata	Mammalia	Rodentia	Heteromyidae	Liomys	Liomys adspersus	Panamanian spiny pocket mouse	193	365	NA	NA	4	1.44	NA	NA	NA	42	NA	NA	NA	unknown	small	low	NA	NA	NA	NA	NA	1434455
02632	Animalia	Chordata	Mammalia	Rodentia	Heteromyidae	Microdipodops	Microdipodops megacephalus	Dark kangaroo mouse	NA	NA	NA	NA	4	NA	NA	NA	NA	13.4	NA	NA	NA	unknown	small	low	NA	NA	0.168	11	305.95	36420441544610
02633	Animalia	Chordata	Mammalia	Rodentia	Heteromyidae	Perognathus	Perognathus amplus	Arizona pocket mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.7	NA	5.9	671	captivity	small	acceptable	NA	NA	NA	NA	NA	671730
02634	Animalia	Chordata	Mammalia	Rodentia	Heteromyidae	Perognathus	Perognathus flavescens	Plains pocket mouse	84	NA	26	NA	4.75	1.5	NA	NA	NA	9	NA	NA	NA	unknown	small	low	NA	NA	NA	NA	NA	455538610626
02635	Animalia	Chordata	Mammalia	Rodentia	Heteromyidae	Perognathus	Perognathus flavus	Silky pocket mouse	NA	NA	26	30	4	2	NA	NA	NA	8	NA	NA	NA	unknown	small	low	NA	NA	0.097	8.3	307.75	36420455520538610
02636	Animalia	Chordata	Mammalia	Rodentia	Heteromyidae	Perognathus	Perognathus longimembris	Little pocket mouse	151	NA	22	28	5	1.25	NA	0.9	4	8	0.0766	8.3	434	captivity	small	acceptable	NA	NA	0.061	8.5	307.85	3642043444145554e7
02637	Animalia	Chordata	Mammalia	Rodentia	Heteromyidae	Perognathus	Perognathus merriami	Merriam's pocket mouse	NA	NA	NA	23	4.5	2	NA	NA	NA	8	NA	NA	NA	unknown	small	low	NA	NA	NA	NA	NA	538
02638	Animalia	Chordata	Mammalia	Rodentia	Heteromyidae	Perognathus	Perognathus parvus	Great Basin pocket mouse	100	NA	24	23	4.8	1.6	NA	1.5	NA	20.1	NA	5.8	671	captivity	small	acceptable	NA	NA	0.16	19.2	NA	36455538610671680
02639	Animalia	Chordata	Mammalia	Rodentia	Hystricidae	Atherurus	Atherurus africanus	African brush-tailed porcupine	NA	NA	106	NA	1.5	2.5	NA	150	NA	2750	NA	22.9	671	captivity	small	acceptable	NA	NA	NA	NA	NA	434455610671
02640	Animalia	Chordata	Mammalia	Rodentia	Hystricidae	Atherurus	Atherurus macrourus	Asiatic brush-tailed porcupine	NA	NA	NA	NA	1.25	NA	NA	NA	NA	2000	NA	NA	NA	unknown	tiny	low	NA	NA	NA	NA	NA	455610671
02641	Animalia	Chordata	Mammalia	Rodentia	Hystricidae	Hystrix	Hystrix africaeaustralis	Cape porcupine	375	390	94	77	2.1	1.7	379	351	NA	24000	NA	23.1	671	captivity	medium	acceptable	NA	NA	13.175	11300	310.65	36420434455610670
02642	Animalia	Chordata	Mammalia	Rodentia	Hystricidae	Hystrix	Hystrix brachyura	Malayan porcupine	NA	NA	112	NA	1.5	NA	NA	445	NA	8000	NA	27.3	671	captivity	medium	acceptable	NA	NA	NA	NA	NA	434455610671
02643	Animalia	Chordata	Mammalia	Rodentia	Hystricidae	Hystrix	Hystrix cristata	African porcupine	NA	NA	66	NA	2.3	2	NA	1000	NA	20000	NA	28	671	captivity	medium	acceptable	NA	NA	NA	NA	NA	455610671
02644	Animalia	Chordata	Mammalia	Rodentia	Hystricidae	Hystrix	Hystrix indica	Indian crested porcupine	NA	NA	113	NA	2	NA	109	NA	NA	20000	NA	27.1	671	captivity	medium	acceptable	NA	NA	NA	NA	NA	455610671978
02645	Animalia	Chordata	Mammalia	Rodentia	Hystricidae	Hystrix	Hystrix pumila	Indonesian porcupine	NA	NA	112	NA	NA	NA	NA	NA	NA	2740	NA	NA	NA	unknown	tiny	low	NA	NA	NA	NA	NA	434455610978
