species	group	genome_size	hcn	map_length	sexual_system	size	num_markers	parpath	data_source	genus	log10_size
Chlamydomonas reinhardtii	plant	0.120405	17	10	NA	1e-5	NA	FALSE	Stapley et al (2017)	Chlamydomonas	-5
Chlamys farreri	animal	1.244016	19	15.618	NA	0.085	154	FALSE	Stapley et al (2017)	Chlamys	-1.0705810742857071
Cicer arietinum	plant	0.9291	8	10.839300000000001	NA	0.4	NA	FALSE	Stapley et al (2017)	Cicer	-0.3979400086720376
Ciona intestinalis	animal	0.15	14	42.18899999999999	hermaphrodite	0.2	125	FALSE	Stapley et al (2017)	Ciona	-0.6989700043360187
Ciona savignyi	animal	0.17	14	6.5	hermaphrodite	0.15	182	FALSE	Stapley et al (2017)	Ciona	-0.8239087409443188
Citrullus lanatus	plant	0.4401	11	10.96	NA	0.5	NA	FALSE	Stapley et al (2017)	Citrullus	-0.3010299956639812
Citrus clementina	plant	0.301365	9	10.841	NA	5.334	NA	FALSE	Stapley et al (2017)	Citrus	0.7270530113538572
Citrus sinensis	plant	0.490956	9	9.7658	NA	9.144	NA	FALSE	Stapley et al (2017)	Citrus	0.9611362173872253
Clunio marinus	animal	0.095	3	1.7965	gonochorous	0.0015	344	FALSE	Stapley et al (2017)	Clunio	-2.8239087409443187
Cocos nucifera	plant	3.107106	16	27.39	NA	30	NA	FALSE	Stapley et al (2017)	Cocos	1.4771212547196624
Coffea arabica	plant	1.1736	22	38	NA	7.62	NA	FALSE	Stapley et al (2017)	Coffea	0.8819549713396005
Coprinus cinereus	fungi	0.0375	13	13.46	NA	0.01	NA	FALSE	Stapley et al (2017)	Coprinus	-2
Corchorus capsularis	plant	0.5868	7	20.16	NA	3.5	NA	FALSE	Stapley et al (2017)	Corchorus	0.5440680443502757
Corchorus olitorius	plant	0.90954	7	3.585	NA	1.5	NA	FALSE	Stapley et al (2017)	Corchorus	0.17609125905568124
Coregonus clupeaformis	animal	2.38632	40	30.61	NA	0.541	3438	FALSE	Stapley et al (2017)	Coregonus	-0.26680273489343054
Cornus florida	plant	1.54524	7	11.75	NA	6.858	NA	FALSE	Stapley et al (2017)	Cornus	0.8361974807789253
Coturnix japonica	animal	1.3203	32	28.16	gonochorous	0.1945	1747	FALSE	Stapley et al (2017)	Coturnix	-0.7110803943382734
Crassostrea gigas	animal	0.557736	10	5.88	seq.hermaphrodite	0.24257	1166	FALSE	Stapley et al (2017)	Crassostrea	-0.6151629117963155
Crassostrea virginica	animal	0.675	10	9.05	NA	0.1	145	FALSE	Stapley et al (2017)	Crassostrea	-1
Crocodylus porosus	animal	2.04954	17	10.715499999999999	gonochorous	3.7719	203	FALSE	Stapley et al (2017)	Crocodylus	0.5765601702731692
Cryptococcus neoformans	fungi	0.0190519	14	15	NA	5e-6	NA	TRUE	Stapley et al (2017)	Cryptococcus	-5.301029995663981
