key	species	dataset	is_terrestrial	genus	is_terrestrial_orig	n_occ	range
Brassica campestris	Brassica campestris	Stapley	TRUE	Brassica	TRUE	2075	18098638.22689289
Brassica carinata	Brassica carinata	Stapley	TRUE	Brassica	TRUE	3029	3024522.585914589
Brassica juncea	Brassica juncea	Stapley	TRUE	Brassica	TRUE	13713	56414495.507187605
Brassica napus	Brassica napus	Stapley	TRUE	Brassica	TRUE	30000	27446702.28967427
Brassica oleracea	Brassica oleracea	Stapley	TRUE	Brassica	FALSE	30001	34599895.88900959
Brassica rapa	Brassica rapa	Stapley	TRUE	Brassica	TRUE	30000	60551983.05095398
Cajanus cajan	Cajanus cajan	Stapley	TRUE	Cajanus	TRUE	31748	44968747.91035091
Camelina sativa	Camelina sativa	Stapley	TRUE	Camelina	TRUE	10361	19342010.976861477
Camellia sinensis	Camellia sinensis	Stapley	TRUE	Camellia	TRUE	5392	14892855.197147284
Capra hircus	Capra hircus	Stapley	TRUE	Capra	TRUE	30000	29066193.22956699
Capsella bursa-pastoris	Capsella bursa-pastoris	Stapley	TRUE	Capsella	TRUE	47101	31729948.74657382
Capsicum annuum	Capsicum annuum	Stapley	TRUE	Capsicum	TRUE	30000	70879005.232816
Capsicum baccatum	Capsicum baccatum	Stapley	TRUE	Capsicum	FALSE	5085	15532014.522709655
Carassius auratus	Carassius auratus	Stapley	TRUE	Carassius	TRUE	30000	20481664.292363305
Carica papaya	Carica papaya	Stapley	TRUE	Carica	TRUE	6805	38275371.23363172
Carthamus tinctorius	Carthamus tinctorius	Stapley	TRUE	Carthamus	TRUE	10579	43867332.45651493
Castanea mollissima	Castanea mollissima	Stapley	TRUE	Castanea	TRUE	2613	6201767.124584475
Catharanthus roseus	Catharanthus roseus	Stapley	TRUE	Catharanthus	TRUE	7822	53566480.783756755
Ceratopteris richardii	Ceratopteris richardii	Stapley	TRUE	Ceratopteris	TRUE	123	414707.5460440913
Chenopodium quinoa	Chenopodium quinoa	Stapley	TRUE	Chenopodium	TRUE	2358	5732209.871248177
Chimonanthus praecox	Chimonanthus praecox	Stapley	TRUE	Chimonanthus	TRUE	799	4405576.226748117
