Publication	Species	Population Label	Ne	95% CI		N	Ne/N	Nemin/N	Nemax/N	+	-	body_length	source
Palstra et al (2009)	Salmo salar	Sandhill River 	582.0	201	∞	1,971	0.30	0.102	10.000	9.705	0.193	0.75	https://nas.er.usgs.gov/queries/FactSheet.aspx?speciesID=926#:~:text=Maximum%20length%20120%20cm%20(females,2006).
Palstra et al (2009)	Salmo salar	Middle Brook 1982–2004 	836.0	336	∞	2,300	0.36	0.146	10.000	9.637	0.217	0.75	https://nas.er.usgs.gov/queries/FactSheet.aspx?speciesID=926#:~:text=Maximum%20length%20120%20cm%20(females,2006).
Consuegra et al (2005)	Salmo salar	Ason 86-96	95.0	46	157	2375	0.04	0.019	0.066	0.026	0.021	0.75	https://nas.er.usgs.gov/queries/FactSheet.aspx?speciesID=926#:~:text=Maximum%20length%20120%20cm%20(females,2006).
Palstra et al (2009)	Salmo salar	Biscay Bay River 1983–1994 	629.0	213	∞	3,121	0.20	0.068	10.000	9.798	0.133	0.75	https://nas.er.usgs.gov/queries/FactSheet.aspx?speciesID=926#:~:text=Maximum%20length%20120%20cm%20(females,2006).
Palstra et al (2009)	Salmo salar	Terra Nova River	2970.0	348	∞	5,243	0.57	0.066	10.000	9.434	0.500	0.75	https://nas.er.usgs.gov/queries/FactSheet.aspx?speciesID=926#:~:text=Maximum%20length%20120%20cm%20(females,2006).
Consuegra et al (2005)	Salmo salar	Ason 60-86	109.0	60	168	9686	0.01	0.006	0.017	0.006	0.005	0.75	https://nas.er.usgs.gov/queries/FactSheet.aspx?speciesID=926#:~:text=Maximum%20length%20120%20cm%20(females,2006).
Palstra et al (2009)	Salmo salar	Conne River 1976–2003 	2547.0	476	∞	12,573	0.20	0.038	10.000	9.797	0.165	0.75	https://nas.er.usgs.gov/queries/FactSheet.aspx?speciesID=926#:~:text=Maximum%20length%20120%20cm%20(females,2006).
Kanno et al (2011)	Salvelinus fontinalis	Kent Falls Brook	91	67	123	1417	0.06	0.047	0.087	0.023	0.017	0.445	https://www.cabi.org/isc/datasheet/65325#:~:text=The%20maximum%20recorded%20total%20length,waters%20it%20is%20usually%20smaller.
Kanno et al (2011)	Salvelinus fontinalis	Jefferson Hill - Spruce Brook	210	172	259	1792	0.12	0.096	0.145	0.027	0.021	0.445	https://www.cabi.org/isc/datasheet/65325#:~:text=The%20maximum%20recorded%20total%20length,waters%20it%20is%20usually%20smaller.
Franckowiak et al (2009)	Sander vitreus	Lake Escabana 1992-2002	855.9	220	∞	3042	0.28	0.072	10.000	9.719	0.209	0.415	https://depts.washington.edu/oldenlab/wordpress/wp-content/uploads/2013/03/Sander-vitreus_Caisman.pdf
Franckowiak et al (2009)	Sander vitreus	Lake Escabana 1962-1972	61.7	37	102	3050	0.02	0.012	0.033	0.013	0.008	0.415	https://depts.washington.edu/oldenlab/wordpress/wp-content/uploads/2013/03/Sander-vitreus_Caisman.pdf
Franckowiak et al (2009)	Sander vitreus	Lake Escabana 1952-2002	164.7	106	246	3719	0.04	0.029	0.066	0.022	0.016	0.415	https://depts.washington.edu/oldenlab/wordpress/wp-content/uploads/2013/03/Sander-vitreus_Caisman.pdf
Franckowiak et al (2009)	Sander vitreus	Lake Escabana 1952-1962	118.9	57	315	4537	0.03	0.013	0.069	0.043	0.014	0.415	https://depts.washington.edu/oldenlab/wordpress/wp-content/uploads/2013/03/Sander-vitreus_Caisman.pdf
Franckowiak et al (2009)	Sander vitreus	Lake Escabana 1982-1992	192.6	85	857	4657	0.04	0.018	0.184	0.143	0.023	0.415	https://depts.washington.edu/oldenlab/wordpress/wp-content/uploads/2013/03/Sander-vitreus_Caisman.pdf
Franckowiak et al (2009)	Sander vitreus	Lake Escabana 1972-1982	164.3	74	635	4793	0.03	0.015	0.132	0.098	0.019	0.415	https://depts.washington.edu/oldenlab/wordpress/wp-content/uploads/2013/03/Sander-vitreus_Caisman.pdf
Turner et al (2002)	Scaeniops ocellatus	Northern Gulf	3516.0	1785	18148	3.40E+06	0.00	0.001	0.005	0.004	0.001	0.5275	https://naturalhistory2.si.edu/smsfp/irlspec/Sciaeno_ocella.htm
Gomez-Uchida & Banks (2006)	Sebastes crameri	Pacific 1995-96-97-98-00 cohorts	9157.0	6495	12215	24,376,210	0.00	0.000	0.001	0.000	0.000	0.35	https://www.registrelep-sararegistry.gc.ca/virtual_sara/files/cosewic/sr_Darkblotched%20Rockfish_0810_e.pdf
Jehle et al (2001)	Triturus cristatus	232 Tc 89-98	11.1	4	49.3	75	0.15	0.053	0.657	0.509	0.095	0.13	https://en.wikipedia.org/wiki/Triturus
Jehle et al (2001)	Triturus marmoratus	278 Tm 86-98	10.5	4.5	21.4	107	0.10	0.042	0.200	0.102	0.056	0.13	https://en.wikipedia.org/wiki/Triturus
Ursenbacher et al (2009)	Trochulus caelatus	Pop7	15.9	9	46.3	5	3.18	1.800	9.260	6.080	1.380	0.00825	http://www.animalbase.uni-goettingen.de/zooweb/servlet/AnimalBase/home/species?id=2553
