species	group	type	trophic	mass_g	mass_reference	density	density_reference
Gyraulus deflectus	aquatic invertebrates	NA	NA	0.00114	251	5.37E+09	251
Gyraulus parous	aquatic invertebrates	NA	NA	0.000864	178	6.00E+07	178
Hedriodiscus truquit	aquatic invertebrates	NA	NA	0.075	634	1.40E+07	634
Helobdella stagnalis	aquatic invertebrates	NA	NA	0.00186	"331, 393, 430"	2.33E+08	"331, 393, 430"
Heterotrissocladius oliveri	aquatic invertebrates	NA	NA	0.00027	694	1.64E+09	694
Hexagenia limbata	aquatic invertebrates	NA	NA	0.011	307	4.74E+07	307
Hyalella azteca	aquatic invertebrates	NA	NA	0.00418	"15, 133, 442,564"	1.91E+09	"15, 133, 442,564"
Hydra oligactis	aquatic invertebrates	NA	NA	0.0000629	430	4.13E+08	430
Hydrozetes lacustris	aquatic invertebrates	NA	NA	4.46E-06	264	4.10E+10	264
Ilyocryptus sordidus	aquatic invertebrates	NA	NA	8.87E-06	264	3.22E+09	264
Ilyodrilus hammoniensis	aquatic invertebrates	NA	NA	0.00978	331	5.50E+09	331
Isoplastis monilis	aquatic invertebrates	NA	NA	0.0000281	264	3.33E+08	264
Lacuna vincta	aquatic invertebrates	NA	NA	0.003	91	1.00E+07	91
Limnephilus lunatus	aquatic invertebrates	NA	NA	0.00119	264	4.40E+07	264
Limnocalanus macrurus	aquatic invertebrates	NA	NA	0.000011	565	2.55E+10	565
Limnochironomus pulsus	aquatic invertebrates	NA	NA	0.000556	"430, 542"	9.55E+08	"430, 542"
Littorina saxatalis	aquatic invertebrates	NA	NA	0.00158	91	2.36E+08	91
Lumbriculus variegatus	aquatic invertebrates	NA	NA	0.00181	430	6.58E+08	430
Lymnaea palustris	aquatic invertebrates	NA	NA	0.0366	"178, 315"	8.00E+08	"178, 315"
Melampus lineatus	aquatic invertebrates	NA	NA	0.006	91	1.29E+08	91
Microtendipes chloris	aquatic invertebrates	NA	NA	0.000128	339	4.95E+09	339
Microtendipes sp	aquatic invertebrates	NA	NA	0.00171	542	8.95E+08	542
Modiolus demissus	aquatic invertebrates	NA	NA	0.49	381	7.80E+06	38!
Monodacna pontica	aquatic invertebrates	NA	NA	1.49	668	786000	668
Mytilus edulus	aquatic invertebrates	NA	NA	0.02	91	4.71E+08	91
Vassarius obsoletus	aquatic invertebrates	NA	NA	0.025	91	3.50E+07	91
Veanthes virens	aquatic invertebrates	NA	NA	2.75	342	5.19E+06	342
Oligophleboides sigma	aquatic invertebrates	NA	NA	0.00154	517	4.50E+09	517
Orconectes virilis	aquatic invertebrates	NA	NA	9	462	1.02E+06	462
Otomesostoma auditivum	aquatic invertebrates	NA	NA	0.000133	430	2.40E+08	430
Pacifastacus lenuisculus	aquatic invertebrates	NA	NA	20	2	925000	2
Parachironomus tener	aquatic invertebrates	NA	NA	0.000156	542	7.78E+08	542
Pentaneura monilis	aquatic invertebrates	NA	NA	0.0000184	430	1.63E+08	430
Physa gyrina	aquatic invertebrates	NA	NA	0.0054	251	7.78E+08	251
Physa integra	aquatic invertebrates	NA	NA	0.0057	178	3.11E+08	178
Pisaster ochraceus	aquatic invertebrates	NA	NA	629	507	200000	507
Pisidium casertanum	aquatic invertebrates	NA	NA	0.000633	"264, 331"	5.20E+09	"264, 331"
Pisidium compressum	aquatic invertebrates	NA	NA	0.00102	251	4.00E+09	251
Potamophylax cingulatus	aquatic invertebrates	NA	NA	0.0486	504	3.38E+07	504
Potamothrix hammoniensis	aquatic invertebrates	NA	NA	0.00348	332	2.90E+10	332
Pristina idrensis	aquatic invertebrates	NA	NA	0.000059	264	5.05E+10	264
Procladius choreus	aquatic invertebrates	NA	NA	0.000439	"430, 542"	1.83E+09	"430, 542"
Procladius pectinatus	aquatic invertebrates	NA	NA	0.00233	331	3.00E+08	331
Procladius sagittalis	aquatic invertebrates	NA	NA	0.0000776	264	8.89E+08	264
Pseudodiamensa arctica	aquatic invertebrates	NA	NA	0.0027	694	1.22E+08	694
Psilotanypus rufovittatus	aquatic invertebrates	NA	NA	0.000556	542	6.70E+09	542
Rhitrogena semicolorata	aquatic invertebrates	NA	NA	0.00819	722	2.32E+08	722
Scobicularia plana	aquatic invertebrates	NA	NA	0.000083	"312, 313, 564,"	1.14E+08	"312, 313, 564"
Sialis lutaria	aquatic invertebrates	NA	NA	0.0056	"250, 264"	1.53E+08	"250, 264 250, 264"
Skistodiaptomus oregonensis	aquatic invertebrates	NA	NA	0.000015	566	1.57E+11	566
Strongylocentrotus droebachensis	aquatic invertebrates	NA	NA	2.64	456	3.68E+07	456
Tanytarsus eminulus	aquatic invertebrates	NA	NA	0.000015	264	4.60E+09	264
Tanytarsus holochlorus	aquatic invertebrates	NA	NA	0.000334	542	4.31E+09	542
Tanytarsus inopterus	aquatic invertebrates	NA	NA	0.000284	542	3.59E+09	542
Tanytarsus jucundus	aquatic invertebrates	NA	NA	0.00205	15	7.19E+09	15
Tanytarsus lugens	aquatic invertebrates	NA	NA	0.000426	542	4.51E+09	542
Tegula funebralis	aquatic invertebrates	NA	NA	0.702	564	6.00E+08	564
Thermocyclops hyalinus	aquatic invertebrates	NA	NA	2.22E-06	90	7.54E+11	90
Triplya sp.	aquatic invertebrates	NA	NA	3.13E-06	264	1.56E+06	264
Unio pictorum	aquatic invertebrates	NA	NA	5.84	"481,668 668"	5.26E+06	"481, 668"
Unio tumidus	aquatic invertebrates	NA	NA	6.97	"481, 668 481, 668"	2.50E+06	"481, 668"
Valvata humeralis	aquatic invertebrates	NA	NA	0.00192	251	2.09E+09	251
Vejdouskyella comata	aquatic invertebrates	NA	NA	8.23E-06	264	4.19E+10	264
