species	phylum	habitat	mating_system	range_cat	sexual_system	abbrv	neut_model_conf	genome_species	self_est	maplen_data_source	diversity_data_source	site_type	hcn	num_markers	parpath	pred_pi	impact_of_sel	log10_size	log10_range	num_chr	totalMb_covered	ave_rec	assembly_size	selfing	map_length	genome_size	fecundity	propagule	bodymass_g	diversity	size	log10_diversity	social	species_orig	is_terrestrial	n_occ	range	id	kingdom	superphylum	subphylum	class	order	family	genus	clean_name	redlist_cat	log10_body_mass	log10_body_mass_pred	log10_popsize	log10_density	log10_density_pred	pred_log10_body_mass	pred_log10_density	pred_log10_N	RS	log10_RS	log10_map_length	species_lower
Anopheles merus	Arthropoda	Terrestrial	Obligatory outcrossing	Broad endemic	NA	NA	NA	NA	NA	NA	Leffler et al.	NA	NA	NA	FALSE	NA	NA	-2.5185573714976948	5.954814750720052	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0124	0.00303	-1.9065783148377649	FALSE	Anopheles merus	TRUE	198	901186.6524335932	125990	Animalia	Ecdysozoa	Hexapoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles merus	NA	-3.5549340310373427	-3.5507282373654245	12.581099086513342	6.626284335793289	6.631258885592174	-3.5595672796697784	6.630053425928242	12.584868176648294	297421337.4368294	8.473372122217746	NA	anopheles merus
Anopheles quadriannulatus	Arthropoda	Terrestrial	Obligatory outcrossing	Broad endemic	NA	NA	NA	NA	NA	NA	Leffler et al.	NA	NA	NA	FALSE	NA	NA	-2.2596373105057563	5.967469645974049	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.022799999999999997	0.0055	-1.6420651529995463	FALSE	Anopheles quadriannulatus	TRUE	216	927832.6391070845	125956	Animalia	Ecdysozoa	Hexapoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles quadriannulatus	NA	-2.727028720815048	-2.7209647391482847	11.967571603147519	6.00010195717347	5.982386152097712	-2.7309804876823183	6.003335452336658	11.970805098310707	168696843.47401538	8.227106956479805	NA	anopheles quadriannulatus
Anopheles scanloni	Arthropoda	Terrestrial	Obligatory outcrossing	Narrow endemic	NA	NA	NA	NA	NA	NA	Leffler et al.	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0058	NA	-2.2365720064370627	FALSE	Anopheles scanloni	TRUE	115	-Inf	125956	Animalia	Ecdysozoa	Hexapoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles scanloni	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	anopheles scanloni
Anoplopoma fimbria	Chordata	NA	NA	NA	NA	NA	NA	NA	NA	Stapley et al.	NA	NA	24	755	FALSE	NA	NA	-0.12493873660829995	6.525112571812825	NA	NA	NA	NA	NA	13.328	0.75795	NA	NA	NA	NA	0.75	NA	FALSE	Anoplopoma fimbria	FALSE	4211	3350522.7552288286	167123	Animalia	NA	Vertebrata	Teleostei	Scorpaeniformes	Anoplopomatidae	Anoplopoma	Anoplopoma fimbria	NA	4.098739349387478	4.10837326048248	7.362576201471515	0.8374636296586898	0.8354381601345093	4.100406143502551	0.836281345611749	7.361393917424574	4467363.673638438	6.650051308421125	1.1247649840627123	anoplopoma fimbria
Aphanarthrum subglabrum/glabrum	Arthropoda	Terrestrial	Obligatory outcrossing	Island	NA	NA	NA	NA	NA	NA	Leffler et al.	NA	NA	NA	FALSE	NA	NA	-2.8096683018297086	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00189	0.00155	-2.7235381958267557	FALSE	Aphanarthrum subglabrum/glabrum	FALSE	6	-Inf	NA	Animalia	NA	NA	Insecta	Coleoptera	Curculionidae	Aphanarthrum	Aphanarthrum subglabrum	NA	NA	NA	NA	NA	NA	-4.491170149498387	7.334689643180335	NA	-Inf	NA	NA	aphanarthrum subglabrum
Apis cerana	Arthropoda	Terrestrial	Partial selfing	Broad endemic	male.haploid	NA	NA	NA	NA	Stapley et al.	Leffler et al.	NA	16	1535	FALSE	NA	NA	-1.9649707177976319	7.036014007082623	NA	NA	NA	NA	NA	39.427	0.18582	NA	NA	NA	0.00848	0.01084	-2.0716041477432863	TRUE	Apis cerana	TRUE	7757	10864606.641241739	763551	Animalia	Ecdysozoa	Hexapoda	Insecta	Hymenoptera	Apidae	Apis	Apis cerana	NA	-1.7848227136267443	-1.780216691026892	12.323482778496432	5.287468771413809	5.282606468886299	-1.7879989132824026	5.2900927273053115	12.326106734387935	1002269985.3544039	9.000984724880254	1.5957937328679823	apis cerana
Apis mellifera	Arthropoda	Terrestrial	Partial selfing	Cosmopolitan	male.haploid	amel	med	NA	NA	Stapley et al.	Leffler et al.	NA	16	2008	FALSE	0.00667240760626176	0.06706366657881249	-1.8239087409443189	7.471579896274006	NA	NA	NA	NA	NA	41.1475	0.22983	NA	NA	NA	0.007352465743638745	0.015	-2.1335669902664316	TRUE	Apis mellifera	TRUE	30000	29619648.21928811	154396	Animalia	Ecdysozoa	Hexapoda	Insecta	Hymenoptera	Apidae	Apis	Apis mellifera	NA	-1.333772457961354	-1.3404454392020357	12.417898878596842	4.946318982322836	4.9575738513836445	-1.3365773802250036	4.94865114125886	12.420231037532867	1974643214.6192074	9.295488637218325	1.6143434539058308	apis mellifera
Aporrectodea icterica	Annelida	NA	NA	NA	NA	NA	NA	NA	NA	NA	Romiguier et al.	NA	NA	NA	FALSE	NA	NA	-1.0222763947111522	5.817677510277458	NA	NA	NA	NA	NA	NA	NA	2.67	4.1099999999999996e-4	0.95	0.0265455	0.095	-1.5760090900555086	FALSE	Aporrectodea icterica	TRUE	128	657169.6682033325	975609	Animalia	Lophozoa	NA	Clitellata	Opisthopora	Lumbricidae	Aporrectodea	Aporrectodea icterica	NA	1.2294730230949003	1.2278905188190712	8.825297546602055	3.007620036324596	3.013689961815007	1.2287780100604988	3.008293960467218	8.825971470744676	6917575.45477192	6.839953904988611	NA	aporrectodea icterica
Apostichopus japonicus	Echinodermata	NA	NA	NA	gonochorous	NA	NA	NA	NA	Stapley et al.	NA	NA	22	7839	FALSE	NA	NA	-0.6020599913279624	5.855768232940253	NA	NA	NA	NA	NA	37.066	0.66437	NA	NA	NA	NA	0.25	NA	FALSE	Apostichopus japonicus	FALSE	190	717411.3329405262	656053	Animalia	NA	Echinozoa	Holothuroidea	Synallactida	Stichopodidae	Apostichopus	Apostichopus japonicus	NA	2.5731286304303578	2.5589618655746458	7.847120522387777	1.991352289447524	2.0044502547160747	2.5735396337286875	1.991156965406583	7.846925198346836	2869645.3317621048	6.457828224268216	1.5689757214042994	apostichopus japonicus
Aptenodytes patagonicus	Chordata	NA	NA	NA	NA	NA	NA	NA	NA	NA	Romiguier et al.	NA	NA	NA	FALSE	NA	NA	-0.045757490560675115	5.833430669366585	NA	NA	NA	NA	NA	NA	NA	0.0027	0.9	11800	0.00263499	0.9	-2.579221028630964	FALSE	Aptenodytes patagonicus	TRUE	30000	681444.7804142707	174450	Animalia	NA	Vertebrata	Aves	Sphenisciformes	Spheniscidae	Aptenodytes	Aptenodytes patagonicus	NA	4.3519239571065675	4.35092654907744	6.4793992839143115	0.645968614547726	0.6441034317481501	4.353799157534839	0.6446225383362125	6.478053207702797	757160.8671269674	5.87918815992726	NA	aptenodytes patagonicus
