species	phylum	genus	kingdom	subphylum	family	order	superphylum	class	dataset	is_terrestrial	size	range	diversity
Ficedula albicollis	Chordata	Ficedula	Animalia	Vertebrata	Muscicapidae	Passeriformes	NA	Aves	Leffler	TRUE	0.1275	12269686.408869779	0.0038
Ficedula hypoleuca	Chordata	Ficedula	Animalia	Vertebrata	Muscicapidae	Passeriformes	NA	Aves	Leffler	TRUE	0.12954	8503688.184545556	0.0031
Galago moholi	Chordata	Galago	Animalia	Vertebrata	Galagidae	Primates	NA	Mammalia	Leffler	TRUE	0.3683	4358808.912670342	0.0020399999999999997
Gasterosteus aculeatus	Chordata	Gasterosteus	Animalia	Vertebrata	Gasterosteidae	Gasterosteiformes	NA	Teleostei	Leffler	TRUE	0.051	10139680.577958876	0.002328
Gorilla beringei/gorilla	Chordata	Gorilla	Animalia	Vertebrata	Hominidae	Primates	NA	Mammalia	Leffler	TRUE	1.675	890016.8244566334	0.0011915
Gryllus firmus	Arthropoda	Gryllus	Animalia	Hexapoda	Gryllidae	Orthoptera	Ecdysozoa	Insecta	Leffler	TRUE	0.0058	517128.6578024675	0.00889
Gryllus pennsylvanicus	Arthropoda	Gryllus	Animalia	Hexapoda	Gryllidae	Orthoptera	Ecdysozoa	Insecta	Leffler	TRUE	0.022	8328440.007680068	0.00928
Gulo gulo	Chordata	Gulo	Animalia	Vertebrata	Mustelidae	Carnivora	NA	Mammalia	Leffler	TRUE	0.86	16556578.284943977	2.9e-4
Heliconius cydno	Arthropoda	Heliconius	Animalia	Hexapoda	Nymphalidae	Lepidoptera	Ecdysozoa	Insecta	Leffler	TRUE	0.0405	1253923.7371354047	0.024249999999999997
Heliconius hecale	Arthropoda	Heliconius	Animalia	Hexapoda	Nymphalidae	Lepidoptera	Ecdysozoa	Insecta	Leffler	TRUE	0.018	5984891.0587643115	0.02106
Heliconius melpomene	Arthropoda	Heliconius	Animalia	Hexapoda	Nymphalidae	Lepidoptera	Ecdysozoa	Insecta	Leffler	TRUE	0.037	11035869.209090635	0.01996
Heliconius pachinus	Arthropoda	Heliconius	Animalia	Hexapoda	Nymphalidae	Lepidoptera	Ecdysozoa	Insecta	Leffler	TRUE	0.0375	30375.286990051634	0.01881
Histoplasma capsulatum	NA	Histoplasma	NA	NA	NA	NA	NA	NA	Leffler	TRUE	NaN	2755804.741044318	0.021949999999999997
Homo sapiens	Chordata	Homo	Animalia	Vertebrata	Hominidae	Primates	NA	Mammalia	Leffler	TRUE	1.65	496890000	0.0011283333333333332
Hoolock leuconedys	Chordata	Hoolock	Animalia	Vertebrata	Hylobatidae	Primates	NA	Mammalia	Leffler	TRUE	0.75	-Inf	0.0021
Hylobates agilis/lar/moloch/pileatus	Chordata	Hylobates	Animalia	Vertebrata	Hylobatidae	Primates	NA	Mammalia	Leffler	TRUE	0.5375	978183.5589721954	0.0025525
Ixodes ricinus	Arthropoda	Ixodes	Animalia	Chelicerata	Ixodidae	Ixodida	Ecdysozoa	Euchelicerata	Leffler	TRUE	0.011	5890367.5222983025	0.0087
Limenitis arthemis	Arthropoda	Limenitis	Animalia	Hexapoda	Nymphalidae	Lepidoptera	Ecdysozoa	Insecta	Leffler	TRUE	0.079	15655017.669462848	0.014280000000000001
Lutzomyia intermedia	Arthropoda	Lutzomyia	Animalia	Hexapoda	Psychodidae	Diptera	Ecdysozoa	Insecta	Leffler	TRUE	0.003	-Inf	0.01165
Lutzomyia whitmani	Arthropoda	Lutzomyia	Animalia	Hexapoda	Psychodidae	Diptera	Ecdysozoa	Insecta	Leffler	TRUE	0.003	0	0.01592
Lynx lynx	Chordata	Lynx	Animalia	Vertebrata	Felidae	Carnivora	NA	Mammalia	Leffler	TRUE	0.87	7738791.66312207	1.03e-4
Macaca mulatta	Chordata	Macaca	Animalia	Vertebrata	Cercopithecidae	Primates	NA	Mammalia	Leffler	TRUE	0.500380001	9300750.60917664	0.0028799999999999997
Malurus melanocephalus	Chordata	Malurus	Animalia	Vertebrata	Maluridae	Passeriformes	NA	Aves	Leffler	TRUE	0.115	3796189.6318128207	0.012
Melanoplus oregonensis	Arthropoda	Melanoplus	Animalia	Hexapoda	Acrididae	Orthoptera	Ecdysozoa	Insecta	Leffler	TRUE	0.03125	855505.4548384189	0.00935
Mesobuthus cyprius/gibbosus	Arthropoda	Mesobuthus	NA	NA	NA	Scorpiones	NA	Arachnida	Leffler	TRUE	0.06	97949.87875745776	0.0125172
Monodelphis domestica	Chordata	Monodelphis	Animalia	Vertebrata	Didelphidae	Didelphimorphia	NA	Mammalia	Leffler	TRUE	0.14732	2247996.104933871	0.00164
Mus musculus	Chordata	Mus	Animalia	Vertebrata	Muridae	Rodentia	NA	Mammalia	Leffler	TRUE	0.15375	65593985.29725026	0.004788666666666667
Nasonia vitripennis	Arthropoda	Nasonia	NA	NA	NA	Hymenoptera	NA	Insecta	Leffler	TRUE	0.003	20014000	0.0016
Neurospora crassa	Ascomycota	Neurospora	NA	NA	NA	Sordariales	NA	Sordariomycetes	Leffler	TRUE	NaN	416577.2761115271	0.0023499999999999997
Nomascus gabriellae/leucogenys	Chordata	Nomascus	Animalia	Vertebrata	Hylobatidae	Primates	NA	Mammalia	Leffler	TRUE	0.7	189960.97793641494	0.002385
Nycticebus coucang	Chordata	Nycticebus	Animalia	Vertebrata	Lorisidae	Primates	NA	Mammalia	Leffler	TRUE	0.3048	3328416.9281970286	0.00214
Oncorhynchus tshawytscha	Chordata	Oncorhynchus	Animalia	Vertebrata	Salmonidae	Salmoniformes	NA	Teleostei	Leffler	TRUE	0.7	5806199.368720492	0.0026075
Oryctolagus cuniculus	Chordata	Oryctolagus	Animalia	Vertebrata	Leporidae	Lagomorpha	NA	Mammalia	Leffler	TRUE	0.4191	19406128.25688764	0.00843
Pan paniscus	Chordata	Pan	Animalia	Vertebrata	Hominidae	Primates	NA	Mammalia	Leffler	TRUE	0.762	275418.3213953663	0.001
Pan troglodytes	Chordata	Pan	Animalia	Vertebrata	Hominidae	Primates	NA	Mammalia	Leffler	TRUE	0.79248	6706281.364777429	0.0017633333333333333
Papilio dardanus	Arthropoda	Papilio	Animalia	Hexapoda	Papilionidae	Lepidoptera	Ecdysozoa	Insecta	Leffler	TRUE	0.075	14196636.43568612	0.017
Paracoccidioides brasiliensis PS2/PS3/S1	Ascomycota	Paracoccidioides	NA	NA	NA	Onygenales	NA	Eurotiomycetes	Leffler	TRUE	NaN	274054.4372928464	0.00189
Paracoccidioides lutzii	Ascomycota	Paracoccidioides	NA	NA	NA	Onygenales	NA	Eurotiomycetes	Leffler	TRUE	NaN	-Inf	0.01695
Paramecium biaurelia	Ciliophora	Paramecium	Protozoa	NA	Parameciidae	Hymenostomatida	NA	Ciliatea	NA	NA	1.5e-4	NaN	0.0038
Paramecium decaurelia	Ciliophora	Paramecium	Protozoa	NA	Parameciidae	Hymenostomatida	NA	Ciliatea	NA	NA	1.2e-4	NaN	0.0104
Paramecium dodecaurelia	Ciliophora	Paramecium	Protozoa	NA	Parameciidae	Hymenostomatida	NA	Ciliatea	NA	NA	1.2e-4	NaN	0.0078000000000000005
