species	bodymass_g	bodymass_notes	bodymass_source	size_cm	bodysize_notes	bodysize_source	fecundity	fecundity_notes	fecundity_source	longevity_years	longevity_notes	longevity_source	propagule_size_cm	propagule_notes	propagule_source	mass	size	propagule	log10_size	log10_mass	log10_propagule	common_name	family	order	class	phylum	number_of_inds	contigs_number	average_length_of_contigs	SNP_number	piS	piN	piNpiS	fit	invasive_status	maximal_geoographic_distance	mean_geographic_distance	mean_distance_from_equator	genus
Lineus longissimus	NA	NA	NA	1000	NA	3031	NA	NA	NA	NA	NA	NA	0.02	NA	97	NA	0.0075	2e-4	1	NA	-3.6989700043360187	bootlace worm	Lineidae	Heteronemertea	Anopla	Nemertea	6	3852	106	26622	0.0177877	0.0015871	0.0892245	-0.01569	0	1462648.4442759	395142.979343726	54.9350419126739	Lineus
Lineus ruber	NA	NA	NA	5	NA	3032	NA	NA	NA	NA	NA	NA	0.5	NA	97	NA	0.05	0.005	-1.3010299956639813	NA	-2.3010299956639813	ribbon worm	Lineidae	Heteronemertea	Anopla	Nemertea	2	5255	142	15669	0.00963977	0.00232305	0.240987	-0.0510394	0	6150473.70367005	763056.367698509	53.7364758673367	Lineus
Macaca mulatta	8240	NA	53	55.5	NA	28	0.0023	NA	53	40	NA	53	31.1	Estimated from volume	53	8.24	0.555	0.311	-0.2557070168773237	0.9159272116971158	-0.5072396109731625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Macaca
Melitaea cinxia	0.165	Personal communication (I. Hanski)	NA	3.96	NA	33	95.2	NA	121	1	NA	79	0.0556	Estimated from volume	33	1.65e-4	0.039599999999999996	5.56e-4	-1.4023048140744878	-3.7825160557860937	-3.2549252084179425	Glanville fritillary	Nymphalidae	Lepidoptera	Insecta	Arthropoda	10	4272	67	43631	0.0342226	0.00320756	0.0937264	0.516966	0	12224785.5848554	812922.085055415	52.8530831782899	Melitaea
Melitaea didyma	0.165	Personal communication (I. Hanski)	NA	4.4	NA	33	95.2	M. cinxia	121	1	NA	79	0.0713	Estimated from volume	33	1.65e-4	0.044000000000000004	7.13e-4	-1.3565473235138126	-3.7825160557860937	-3.1469104701481343	spotted fritillary	Nymphalidae	Lepidoptera	Insecta	Arthropoda	2	4181	132	28434	0.0307243	0.00349029	0.1136	-0.0144966	0	8855346.06897235	588576.298617851	47.0928389877224	Melitaea
Mellicta athalia	0.165	Personal communication (I. Hanski)	NA	3.9	NA	33	95.2	M. cinxia	121	1	NA	79	0.0644	Estimated from volume	33	1.65e-4	0.039	6.44e-4	-1.408935392973501	-3.7825160557860937	-3.191114132640188	heath fritillary	Nymphalidae	Lepidoptera	Insecta	Arthropoda	2	2843	130	16857	0.0268667	0.00316704	0.11788	0.0603555	0	13864669.2238737	1301616.37079394	47.6508730081967	Mellicta
Mellicta parthenoides	0.165	Personal communication (I. Hanski)	NA	3.9	NA	33	95.2	M. cinxia	121	1	NA	79	0.0644	NA	33	1.65e-4	0.039	6.44e-4	-1.408935392973501	-3.7825160557860937	-3.191114132640188	meadow fritillary	Nymphalidae	Lepidoptera	Insecta	Arthropoda	2	2375	111	7801	0.0164728	0.00240365	0.145917	-0.0506673	0	2359361.71052677	318900.077471845	45.6064932370487	Mellicta
Messor barbarus	0.14	Measured (queen)	NA	1.5	Measured (queen)	NA	0.266	Pogonomyrmex barbatus	113	20	Pogonomyrmex barbatus	80	1.5	As adult size	NA	1.4000000000000001e-4	0.015	0.015	-1.8239087409443189	-3.853871964321762	-1.8239087409443189	harvest ant	Formicidae	Hymenoptera	Insecta	Arthropoda	10	9393	156	40605	0.00580966	5.29119e-4	0.0910758	-0.334384	0	4267460.99544555	1367836.23236463	40.4497912490566	Messor
Microtus arvalis	27.5	NA	53	11.1	NA	28	0.0768	NA	53	4.8	NA	53	7.8	NA	53	0.0275	0.111	0.078	-0.9546770212133425	-1.5606673061697374	-1.1079053973095196	common vole	Cricetidae	Rodentia	Mammalia	Chordata	7	6463	143	35650	0.00849582	9.6359e-4	0.113419	0.346856	0	8218005.39234569	1104368.51753787	48.6194172367823	Microtus
Monodelphis domestica	105	NA	53	12.5	NA	34	0.0986	NA	53	5.1	NA	53	7.23	NA	53	0.105	0.125	0.0723	-0.9030899869919435	-0.978810700930062	-1.140861702705469	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Monodelphis
Mus musculus	20.5	NA	53	8	NA	35	0.104	NA	53	4	NA	53	6.06	NA	53	0.0205	0.08	0.060599999999999994	-1.0969100130080565	-1.6882461389442456	-1.2175273758337137	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Mus
Mytilus californianus	37.5	NA	62	7.5	NA	14	110000	M. edulis	14	25	NA	62	0.01	M. edulis	99	0.0375	0.075	1e-4	-1.1249387366083	-1.4259687322722812	-4	California mussel	Mytilidae	Mytiloida	Bivalvia	Mollusca	2	7680	165	43110	0.0197862	0.00248757	0.125722	-0.0105272	0	12247201.161931	1396819.17201869	44.2289802511416	Mytilus
Mytilus edulis	37.5	NA	62	7.5	NA	14	110000	NA	14	25	NA	62	0.01	NA	99	0.0375	0.075	1e-4	-1.1249387366083	-1.4259687322722812	-4	blue mussel	Mytilidae	Mytiloida	Bivalvia	Mollusca	4	6600	100	51728	0.0339066	0.0024297	0.0716585	0.0186252	0	19798972.5336077	1868406.7005138	52.422237193496	Mytilus
Mytilus galloprovincialis	37.5	NA	62	7.5	NA	14	110000	M. edulis	14	25	NA	62	0.01	M. edulis	99	0.0375	0.075	1e-4	-1.1249387366083	-1.4259687322722812	-4	Mediterranean mussel	Mytilidae	Mytiloida	Bivalvia	Mollusca	6	8561	81	74366	0.0334238	0.00225418	0.0674425	0.0723712	1	19558163.4953623	9472743.62568098	6.59365821031149	Mytilus
Mytilus trossulus	37.5	NA	62	7.5	NA	14	110000	M. edulis	14	25	NA	62	0.01	M. edulis	99	0.0375	0.075	1e-4	-1.1249387366083	-1.4259687322722812	-4	foolish mussel	Mytilidae	Mytiloida	Bivalvia	Mollusca	2	9892	130	136411	0.0692141	0.00570083	0.0823651	0.00916614	0	9953994.80371063	980487.324440241	56.5564467004405	Mytilus
Necora puber	90	NA	36	6	NA	36	1100	NA	36	10	NA	36	0.18	NA	36	0.09	0.06	0.0018	-1.2218487496163564	-1.0457574905606752	-2.744727494896694	velvet crab	Carcinidae	Decapoda	Malacostraca	Arthropoda	8	9233	168	34965	0.00591197	5.22356e-4	0.0883556	-0.0107796	0	4416242.41601824	453829.216082512	53.3852439969407	Necora
Nycticebus coucang	891	NA	53	30	NA	28	0.0027	NA	53	25.8	NA	53	25.1	NA	53	0.891	0.3	0.251	-0.5228787452803376	-0.0501222959631252	-0.6003262785189618	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nycticebus
Ophioderma longicauda	2.18	NA	63	1.53	NA	37	1500	NA	122	NA	NA	NA	0.02	NA	100	0.00218	0.015300000000000001	2e-4	-1.8153085691824011	-2.661543506395395	-3.6989700043360187	brittle star	Ophiodermatidae	Ophiurida	Ophiuroidea	Echinodermata	5	1407	90	7401	0.0161113	0.0028924	0.179526	-0.00911235	0	6102972.73515049	1489674.62451701	36.7072043380282	Ophioderma
Ophioderma longicauda	2.18	NA	63	1.53	NA	37	1500	NA	122	NA	NA	NA	0.02	NA	100	0.00218	0.015300000000000001	2e-4	-1.8153085691824011	-2.661543506395395	-3.6989700043360187	brittle star	Ophiodermatidae	Ophiurida	Ophiuroidea	Echinodermata	2	6688	147	18513	0.00839587	0.00223977	0.26677	-0.279878	0	6102972.73515049	1513085.89133549	36.6653336323529	Ophioderma
Ostrea chilensis	268	Estimated (size to weight)	64	10	NA	38	416	NA	102	34	O. edulis	81	0.045	NA	102	0.268	0.1	4.5e-4	-1	-0.5718652059712112	-3.3467874862246565	dredge oyster	Ostreidae	Ostreoida	Bivalvia	Mollusca	2	2436	103	4068	0.00652548	0.00212351	0.325419	-0.258004	0	19184798.8515099	1960625.10319611	40.1656587609756	Ostrea
Ostrea edulis	268	Estimated (size to weight)	64	10	NA	38	5480	NA	14	34	NA	81	0.018	NA	103	0.268	0.1	1.7999999999999998e-4	-1	-0.5718652059712112	-3.744727494896694	European flat oyster	Ostreidae	Ostreoida	Bivalvia	Mollusca	10	2465	67	5570	0.00529649	9.40557e-4	0.177581	-0.000708434	1	19704691.019274	724541.305312912	51.8871033451248	Ostrea
