species	phylum	log10_popsize	map_length	social
Gadus morhua	Chordata	7.904872771413158	14.2192	FALSE
Gallus gallus	Chordata	8.235611508759067	28.149	FALSE
Gasterosteus aculeatus	Chordata	10.627815174655096	16.1595046385	FALSE
Haliotis diversicolor	Mollusca	10.190277268132443	21.901	FALSE
Haliotis midae	Mollusca	7.66117470441537	10.38	FALSE
Haplochromis chilotes	Chordata	7.189894183129807	12.2568	FALSE
Haplochromis sauvagei	Chordata	7.659015828737307	11.3063	FALSE
Heliconius melpomene	Arthropoda	11.008951207091435	13.6423	FALSE
Hippoglossus hippoglossus	Chordata	7.077221630840856	15.14	FALSE
Homo sapiens	Chordata	8.430070653252573	31.799563005	FALSE
Hypophthalmichthys molitrix	Chordata	9.176162172387482	15.610999999999999	FALSE
Hyriopsis cumingii	Mollusca	8.400062010248847	27.13	FALSE
Ictalurus punctatus	Chordata	8.170752454743438	32.4	FALSE
Ixodes scapularis	Arthropoda	13.352665538867733	6.16	FALSE
Kryptolebias marmoratus	Chordata	10.952105953983327	12.48	FALSE
Labeo rohita	Chordata	7.873690156414956	13.738	FALSE
Larimichthys crocea	Chordata	7.179030249622049	54.513000000000005	FALSE
Lates calcarifer	Chordata	6.752862803278804	14.129000000000001	FALSE
Lepisosteus oculatus	Chordata	7.682205815966142	29.23736	FALSE
Lepomis macrochirus	Chordata	9.303446211352743	15.7675	FALSE
Leptinotarsa decemlineata	Arthropoda	12.58409660805197	10.32	FALSE
Litopenaeus vannamei	Arthropoda	9.074387795403	42.7143	FALSE
Lucania goodei	Chordata	9.813495528790204	3.92	FALSE
Lucania parva	Chordata	10.569390446525308	6.05	FALSE
Macaca mulatta	Chordata	7.945319271036481	22.6095	FALSE
Macropus eugenii	Chordata	6.013119744784706	14.024000000000001	FALSE
Marsupenaeus japonicus	Arthropoda	9.052847856963048	36.109	FALSE
Meleagris gallopavo	Chordata	7.242120489023054	22.4095	FALSE
Melospiza melodia	Chordata	9.626494980401722	17.31	FALSE
Metriaclima zebra	Chordata	7.297456419492733	19.33	FALSE
Microtus ochrogaster	Chordata	9.491706636588562	17.07	FALSE
Misgurnus anguillicaudatus	Chordata	9.399867394860836	7.2335	FALSE
Monodelphis domestica	Chordata	8.98067975062244	7.15	FALSE
Nilaparvata lugens	Arthropoda	12.49863597249927	10.933	FALSE
Nothobranchius furzeri	Chordata	7.996916143377392	19.65	FALSE
Oncorhynchus kisutch	Chordata	7.783651465825421	3.5855	FALSE
Oncorhynchus mykiss	Chordata	8.396348609353465	36	FALSE
Oncorhynchus nerka	Chordata	7.7945545506696154	31.865	FALSE
Oncorhynchus tshawytscha	Chordata	7.674842486593666	31.197	FALSE
Oreochromis mossambicus	Chordata	8.935415702178195	10.675999999999998	FALSE
Oreochromis niloticus	Chordata	9.969745314149172	7.04	FALSE
Oryctolagus cuniculus	Chordata	8.655986684437584	14.19	FALSE
Oryzias latipes	Chordata	9.81657073862786	14.269300000000001	FALSE
Ostrea edulis	Mollusca	9.791075900740303	5.364	FALSE
Ovis aries	Chordata	7.644740680063481	33.04	FALSE
Ovis canadensis	Chordata	6.721365403440326	30.51	FALSE
Papilio glaucus	Arthropoda	10.58644373729023	11.67	FALSE
Papio anubis	Chordata	7.2327069626156755	24.221	FALSE
Papio hamadryas	Chordata	7.802661677247641	23.54	FALSE
Paralichthys olivaceus	Chordata	6.127994983527773	16.9515	FALSE
Parus major	Chordata	9.717033904066566	19.1682	FALSE
Patinopecten yessoensis	Mollusca	7.502388934797663	19.186500000000002	FALSE
Penaeus monodon	Arthropoda	9.055115351954566	34.885	FALSE
Peromyscus maniculatus	Chordata	9.789532291871495	14.99	FALSE
